model,Time/Error,Result,Clauses,Variables,Literals,Memory (kB),Depth,InvariantSize
23_arbitrated_top_n2_w32_d32_e0.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,29208.0,11219.0,78737.0,533540.0,29,inf
240_yosyshq_appnote_123_cv32e40x-p220.aig.out.txt,0.23,UN_SAT,91740.0,133609.0,258459.0,106764.0,2,2.0
241_yosyshq_appnote_123_cv32e40x-p238.aig.out.txt,0.36,UN_SAT,91751.0,133608.0,258495.0,108712.0,8,48.0
242_yosyshq_appnote_123_cv32e40x-p246.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,158978.0,154595.0,442499.0,877880.0,18,inf
243_yosyshq_appnote_123_cv32e40x-p250.aig.out.txt,0.24,UN_SAT,91737.0,133601.0,258487.0,106624.0,2,2.0
244_yosyshq_appnote_123_cv32e40x-p255.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,187683.0,163221.0,525576.0,1117904.0,17,inf
245_yosyshq_appnote_123_cv32e40x-p266.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,179675.0,161136.0,501816.0,1154056.0,14,inf
246_yosyshq_appnote_123_cv32e40x-p281.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,159219.0,154658.0,443503.0,681396.0,14,inf
247_yosyshq_appnote_123_cv32e40x-p299.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,91724.0,133605.0,258402.0,892716.0,21,inf
248_yosyshq_appnote_123_cv32e40x-p301.aig.out.txt,0.29,UN_SAT,91908.0,133658.0,258914.0,108776.0,8,30.0
249_yosyshq_appnote_123_cv32e40x-p311.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,96964.0,135347.0,272636.0,653008.0,17,inf
24_arbitrated_top_n4_w8_d32_e0.aig.out.txt,1900.49,SAT,17243.0,6457.0,46483.0,460588.0,34,-inf
250_yosyshq_appnote_123_cv32e40x-p315.aig.out.txt,0.29,UN_SAT,91797.0,133610.0,258627.0,109380.0,8,19.0
251_yosyshq_appnote_123_cv32e40x-p320.aig.out.txt,2.72,UN_SAT,91709.0,133589.0,258389.0,135868.0,15,70.0
252_yosyshq_appnote_123_cv32e40x-p334.aig.out.txt,0.24,UN_SAT,91741.0,133609.0,258455.0,106620.0,5,4.0
253_yosyshq_appnote_123_cv32e40x-p340.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,94058.0,134321.0,264668.0,977016.0,18,inf
254_yosyshq_appnote_123_cv32e40x-p348.aig.out.txt,1.87,UN_SAT,91730.0,133582.0,258527.0,116348.0,10,394.0
255_yosyshq_appnote_123_cv32e40x-p352.aig.out.txt,0.3,UN_SAT,91885.0,133642.0,258827.0,106412.0,6,36.0
256_yosyshq_appnote_123_cv32e40x-p355.aig.out.txt,1.3,UN_SAT,91927.0,133661.0,258968.0,131280.0,14,46.0
257_yosyshq_appnote_123_cv32e40x-p359.aig.out.txt,0.27,UN_SAT,91778.0,133588.0,258631.0,106488.0,4,5.0
258_yosyshq_appnote_123_cv32e40x-p363.aig.out.txt,753.0,UN_SAT,91722.0,133591.0,258430.0,442528.0,31,3606.0
259_yosyshq_appnote_123_cv32e40x-p364.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,179566.0,161030.0,501635.0,627440.0,12,inf
25_arbitrated_top_n5_w128_d128_e0.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,1080305.0,415538.0,2909163.0,1247724.0,6,inf
260_yosyshq_appnote_123_cv32e40x-p365.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,91800.0,133630.0,258579.0,819196.0,17,inf
261_yosyshq_appnote_123_cv32e40x-p377.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,189411.0,163704.0,530565.0,919376.0,12,inf
262_yosyshq_appnote_123_cv32e40x-p378.aig.out.txt,0.75,UN_SAT,91778.0,133628.0,258516.0,123496.0,11,42.0
263_yosyshq_appnote_123_cv32e40x-p388.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,92682.0,133893.0,260960.0,838872.0,26,inf
264_yosyshq_appnote_123_cv32e40x-p413.aig.out.txt,0.23,UN_SAT,91743.0,133603.0,258496.0,106628.0,2,2.0
265_yosyshq_appnote_123_cv32e40x-p417.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,179845.0,161235.0,502122.0,867868.0,10,inf
266_yosyshq_appnote_123_cv32e40x-p418.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,91779.0,133627.0,258499.0,542028.0,10,inf
267_yosyshq_appnote_123_cv32e40x-p426.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,190552.0,164003.0,534051.0,946032.0,18,inf
268_yosyshq_appnote_123_cv32e40x-p429.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,164001.0,156087.0,456881.0,796464.0,11,inf
269_yosyshq_appnote_123_cv32e40x-p456.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,162462.0,155581.0,453036.0,652196.0,11,inf
26_arbitrated_top_n5_w64_d8_e0.aig.out.txt,39.69,SAT,37022.0,14590.0,100310.0,82576.0,10,-inf
270_yosyshq_appnote_123_cv32e40x-p463.aig.out.txt,15.28,UN_SAT,92546.0,133880.0,260691.0,170200.0,18,596.0
271_yosyshq_appnote_123_cv32e40x-p465.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,190280.0,163868.0,533321.0,834176.0,10,inf
272_yosyshq_appnote_123_cv32e40x-p468.aig.out.txt,0.24,UN_SAT,91732.0,133601.0,258467.0,106568.0,5,4.0
273_yosyshq_appnote_123_cv32e40x-p475.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,159221.0,154663.0,443468.0,959120.0,22,inf
274_yosyshq_appnote_123_cv32e40x-p478.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,91777.0,133621.0,258519.0,476512.0,10,inf
275_yosyshq_appnote_123_cv32e40x-p500.aig.out.txt,0.45,UN_SAT,91814.0,133632.0,258597.0,118420.0,11,42.0
276_yosyshq_appnote_123_cv32e40x-p502.aig.out.txt,0.34,UN_SAT,91791.0,133610.0,258581.0,109196.0,8,26.0
277_yosyshq_appnote_123_cv32e40x-p505.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,163956.0,156066.0,456732.0,1043636.0,10,inf
278_yosyshq_appnote_123_cv32e40x-p512.aig.out.txt,0.24,UN_SAT,91753.0,133612.0,258464.0,106592.0,2,2.0
279_yosyshq_appnote_123_cv32e40x-p514.aig.out.txt,711.49,UN_SAT,92047.0,133667.0,259535.0,476752.0,33,1795.0
27_circular_pointer_top_w64_d8_e0.aig.out.txt,68.6,SAT,9543.0,3511.0,27891.0,72736.0,11,-inf
280_yosyshq_appnote_123_cv32e40x-p545.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,91738.0,133604.0,258470.0,674340.0,20,inf
281_yosyshq_appnote_123_cv32e40x-p564.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,159411.0,154805.0,443899.0,921904.0,10,inf
282_yosyshq_appnote_123_cv32e40x-p568.aig.out.txt,273.46,UN_SAT,91900.0,133639.0,258962.0,347092.0,30,1832.0
